date,zone,temp_moyenne_c,temp_min_c,temp_max_c
2024-01-01,Val-Nord,2.96,2.93,10.68
2024-01-02,Val-Nord,5.01,0.22,10.53
2024-01-03,Val-Nord,2.65,1.21,6.48
2024-01-04,Val-Nord,4.22,-0.15,7.46
2024-01-05,Val-Nord,3.25,1.25,10.64
2024-01-06,Val-Nord,1.79,-2.38,4.8
2024-01-07,Val-Nord,0.06,-2.23,2.31
2024-01-08,Val-Nord,-0.74,-7.46,6.06
2024-01-09,Val-Nord,2.19,-0.08,7.62
2024-01-10,Val-Nord,5.95,2.31,9.85
2024-01-11,Val-Nord,-2.38,-6.75,3.36
2024-01-12,Val-Nord,1.13,-5.79,7.86
2024-01-13,Val-Nord,1.41,-1.91,10.32
2024-01-14,Val-Nord,-2.28,-7.87,2.87
2024-01-15,Val-Nord,5.54,2.56,9.93
2024-01-16,Val-Nord,0.76,-2.34,4.73
2024-01-17,Val-Nord,-0.69,-3.83,1.92
2024-01-18,Val-Nord,6.07,3.61,6.76
2024-01-19,Val-Nord,2.28,0.23,10.19
2024-01-20,Val-Nord,1.47,-0.95,6.08
2024-01-21,Val-Nord,0.77,-5.92,6.3
2024-01-22,Val-Nord,0.93,-2.95,4.67
2024-01-23,Val-Nord,2.99,-2.42,7.69
2024-01-24,Val-Nord,-0.91,-4.5,3.96
2024-01-25,Val-Nord,-0.69,-7.41,6.64
2024-01-26,Val-Nord,3.69,-1.43,11.7
2024-01-27,Val-Nord,4.49,1.63,9.76
2024-01-28,Val-Nord,5.47,3.48,9.21
2024-01-29,Val-Nord,1.11,-0.02,4.7
2024-01-30,Val-Nord,5.93,-0.91,13.01
2024-01-31,Val-Nord,5.23,0.87,9.66
2024-02-01,Val-Nord,3.55,0.18,7.96
2024-02-02,Val-Nord,1.76,-2.25,6.98
2024-02-03,Val-Nord,4.52,2.72,12.65
2024-02-04,Val-Nord,1.15,-2.93,7.65
2024-02-05,Val-Nord,1.23,-3.28,8.42
2024-02-06,Val-Nord,4.79,-0.18,8.08
2024-02-07,Val-Nord,6.95,1.11,16.62
2024-02-08,Val-Nord,6.17,-0.07,12.69
2024-02-09,Val-Nord,-1.02,-5.77,2.04
2024-02-10,Val-Nord,0.34,-6.53,5.22
2024-02-11,Val-Nord,6.71,4.11,11.27
2024-02-12,Val-Nord,3.48,-2.93,7.59
2024-02-13,Val-Nord,1.58,-2.61,9.0
2024-02-14,Val-Nord,2.92,-0.22,12.06
2024-02-15,Val-Nord,0.32,-5.63,4.6
2024-02-16,Val-Nord,4.38,-0.75,8.49
2024-02-17,Val-Nord,0.4,-2.64,3.61
2024-02-18,Val-Nord,5.49,3.06,11.4
2024-02-19,Val-Nord,2.13,0.01,5.34
2024-02-20,Val-Nord,4.19,-1.21,9.04
2024-02-21,Val-Nord,5.94,5.78,8.8
2024-02-22,Val-Nord,3.13,-3.98,6.72
2024-02-23,Val-Nord,2.8,0.38,8.73
2024-02-24,Val-Nord,3.92,-0.03,8.19
2024-02-25,Val-Nord,0.05,-6.69,4.84
2024-02-26,Val-Nord,4.19,-0.26,6.36
2024-02-27,Val-Nord,4.82,-1.5,9.05
2024-02-28,Val-Nord,3.47,-0.33,6.56
2024-02-29,Val-Nord,2.29,-3.3,5.61
2024-03-01,Val-Nord,5.74,0.52,13.33
2024-03-02,Val-Nord,4.31,0.55,7.59
2024-03-03,Val-Nord,6.13,1.14,14.4
2024-03-04,Val-Nord,6.92,1.28,13.93
2024-03-05,Val-Nord,10.85,6.83,15.54
2024-03-06,Val-Nord,1.48,-2.47,5.43
2024-03-07,Val-Nord,8.7,4.7,14.78
2024-03-08,Val-Nord,2.82,-4.0,9.37
2024-03-09,Val-Nord,6.73,1.77,13.88
2024-03-10,Val-Nord,7.51,3.77,13.67
2024-03-11,Val-Nord,5.78,2.49,11.2
2024-03-12,Val-Nord,8.26,3.21,13.18
2024-03-13,Val-Nord,4.11,0.42,8.97
2024-03-14,Val-Nord,6.3,0.78,11.17
2024-03-15,Val-Nord,4.61,0.16,9.75
2024-03-16,Val-Nord,8.38,3.34,12.53
2024-03-17,Val-Nord,7.77,2.69,12.67
2024-03-18,Val-Nord,9.62,7.4,14.22
2024-03-19,Val-Nord,9.0,4.95,14.23
2024-03-20,Val-Nord,4.12,1.51,10.97
2024-03-21,Val-Nord,8.57,2.7,11.47
2024-03-22,Val-Nord,9.1,2.51,14.04
2024-03-23,Val-Nord,4.6,1.04,8.75
2024-03-24,Val-Nord,8.93,7.45,15.82
2024-03-25,Val-Nord,7.64,4.72,12.58
2024-03-26,Val-Nord,6.66,3.73,15.2
2024-03-27,Val-Nord,2.4,-3.6,8.33
2024-03-28,Val-Nord,9.06,6.66,16.41
2024-03-29,Val-Nord,7.76,4.64,11.86
2024-03-30,Val-Nord,10.04,2.24,17.95
2024-03-31,Val-Nord,4.47,1.16,6.63
2024-04-01,Val-Nord,8.68,6.43,12.91
2024-04-02,Val-Nord,10.72,6.02,15.56
2024-04-03,Val-Nord,9.15,5.71,13.19
2024-04-04,Val-Nord,7.27,2.67,10.75
2024-04-05,Val-Nord,6.56,0.87,13.34
2024-04-06,Val-Nord,6.66,0.88,15.07
2024-04-07,Val-Nord,7.53,3.67,12.88
2024-04-08,Val-Nord,12.28,9.65,17.79
2024-04-09,Val-Nord,6.93,4.27,11.4
2024-04-10,Val-Nord,14.46,8.85,18.3
2024-04-11,Val-Nord,11.2,7.23,17.23
2024-04-12,Val-Nord,10.92,6.05,17.63
2024-04-13,Val-Nord,12.96,10.02,19.64
2024-04-14,Val-Nord,9.6,6.43,16.94
2024-04-15,Val-Nord,13.07,8.77,17.52
2024-04-16,Val-Nord,13.04,8.84,18.13
2024-04-17,Val-Nord,12.94,9.71,18.14
2024-04-18,Val-Nord,10.6,7.87,19.68
2024-04-19,Val-Nord,11.38,6.13,14.5
2024-04-20,Val-Nord,8.63,5.15,14.08
2024-04-21,Val-Nord,14.71,11.34,21.27
2024-04-22,Val-Nord,12.56,12.32,17.99
2024-04-23,Val-Nord,14.33,10.25,18.74
2024-04-24,Val-Nord,9.48,5.52,15.69
2024-04-25,Val-Nord,9.1,8.92,15.69
2024-04-26,Val-Nord,13.58,9.86,17.06
2024-04-27,Val-Nord,9.75,6.33,14.59
2024-04-28,Val-Nord,13.64,9.84,19.36
2024-04-29,Val-Nord,14.76,11.04,16.63
2024-04-30,Val-Nord,10.69,7.19,12.96
2024-05-01,Val-Nord,10.94,6.24,19.23
2024-05-02,Val-Nord,14.06,9.72,17.97
2024-05-03,Val-Nord,17.08,11.87,22.33
2024-05-04,Val-Nord,12.86,9.9,21.13
2024-05-05,Val-Nord,15.1,10.94,19.55
2024-05-06,Val-Nord,16.65,11.8,23.3
2024-05-07,Val-Nord,15.02,10.9,17.29
2024-05-08,Val-Nord,16.19,10.25,20.89
2024-05-09,Val-Nord,13.79,9.95,16.4
2024-05-10,Val-Nord,12.37,8.1,16.49
2024-05-11,Val-Nord,18.11,12.09,25.07
2024-05-12,Val-Nord,15.35,11.69,23.78
2024-05-13,Val-Nord,20.98,16.35,24.43
2024-05-14,Val-Nord,18.25,13.23,20.68
2024-05-15,Val-Nord,18.1,12.88,21.34
2024-05-16,Val-Nord,17.04,11.4,23.26
2024-05-17,Val-Nord,13.16,10.97,18.99
2024-05-18,Val-Nord,16.13,12.64,21.49
2024-05-19,Val-Nord,14.97,11.81,21.09
2024-05-20,Val-Nord,14.73,8.8,20.33
2024-05-21,Val-Nord,20.18,18.61,26.62
2024-05-22,Val-Nord,12.86,6.47,16.12
2024-05-23,Val-Nord,18.96,14.43,25.93
2024-05-24,Val-Nord,13.97,12.16,20.88
2024-05-25,Val-Nord,17.81,12.26,24.43
2024-05-26,Val-Nord,13.02,9.46,18.12
2024-05-27,Val-Nord,20.94,15.14,26.69
2024-05-28,Val-Nord,20.14,13.84,27.16
2024-05-29,Val-Nord,15.96,9.74,22.32
2024-05-30,Val-Nord,17.72,14.45,20.52
2024-05-31,Val-Nord,19.86,15.89,23.39
2024-06-01,Val-Nord,14.01,11.31,19.86
2024-06-02,Val-Nord,19.52,17.14,23.89
2024-06-03,Val-Nord,19.6,17.05,23.38
2024-06-04,Val-Nord,15.24,11.49,20.18
2024-06-05,Val-Nord,17.27,11.8,18.84
2024-06-06,Val-Nord,19.31,17.58,25.43
2024-06-07,Val-Nord,17.56,14.71,22.92
2024-06-08,Val-Nord,19.09,16.2,25.74
2024-06-09,Val-Nord,18.68,12.49,21.34
2024-06-10,Val-Nord,20.87,15.67,22.25
2024-06-11,Val-Nord,18.57,15.75,25.58
2024-06-12,Val-Nord,20.37,16.45,24.21
2024-06-13,Val-Nord,19.73,16.22,26.32
2024-06-14,Val-Nord,22.36,16.96,28.79
2024-06-15,Val-Nord,21.37,18.23,25.34
2024-06-16,Val-Nord,16.47,11.09,22.5
2024-06-17,Val-Nord,18.65,13.33,21.45
2024-06-18,Val-Nord,19.42,15.34,25.76
2024-06-19,Val-Nord,21.49,20.04,28.02
2024-06-20,Val-Nord,20.61,17.34,25.77
2024-06-21,Val-Nord,20.62,16.88,23.67
2024-06-22,Val-Nord,21.14,18.85,27.57
2024-06-23,Val-Nord,18.15,17.16,22.82
2024-06-24,Val-Nord,21.35,17.62,26.89
2024-06-25,Val-Nord,17.21,13.47,23.16
2024-06-26,Val-Nord,19.51,14.45,27.24
2024-06-27,Val-Nord,14.49,11.84,21.26
2024-06-28,Val-Nord,21.82,15.17,24.7
2024-06-29,Val-Nord,17.92,11.13,21.06
2024-06-30,Val-Nord,20.06,17.0,24.98
2024-07-01,Val-Nord,19.93,15.24,24.63
2024-07-02,Val-Nord,23.73,17.51,30.64
2024-07-03,Val-Nord,20.06,16.82,25.72
2024-07-04,Val-Nord,21.76,16.5,26.75
2024-07-05,Val-Nord,21.88,18.76,25.48
2024-07-06,Val-Nord,15.94,11.94,22.01
2024-07-07,Val-Nord,18.48,17.18,24.45
2024-07-08,Val-Nord,20.22,18.24,28.34
2024-07-09,Val-Nord,21.43,16.39,28.59
2024-07-10,Val-Nord,15.73,11.81,18.76
2024-07-11,Val-Nord,15.88,10.46,22.47
2024-07-12,Val-Nord,20.84,15.95,24.11
2024-07-13,Val-Nord,25.42,23.2,33.35
2024-07-14,Val-Nord,20.52,15.29,26.51
2024-07-15,Val-Nord,18.88,16.39,23.68
2024-07-16,Val-Nord,18.84,15.51,21.16
2024-07-17,Val-Nord,21.23,15.48,26.95
2024-07-18,Val-Nord,20.3,17.93,24.77
2024-07-19,Val-Nord,21.24,17.87,26.35
2024-07-20,Val-Nord,19.4,17.7,27.13
2024-07-21,Val-Nord,17.79,14.75,23.44
2024-07-22,Val-Nord,18.06,13.3,23.52
2024-07-23,Val-Nord,15.41,13.47,23.42
2024-07-24,Val-Nord,23.02,16.63,27.65
2024-07-25,Val-Nord,17.52,13.01,23.77
2024-07-26,Val-Nord,20.03,18.54,26.24
2024-07-27,Val-Nord,19.37,14.15,26.25
2024-07-28,Val-Nord,19.47,17.23,23.01
2024-07-29,Val-Nord,17.82,13.45,24.36
2024-07-30,Val-Nord,21.96,17.7,25.81
2024-07-31,Val-Nord,24.79,20.31,29.74
2024-08-01,Val-Nord,22.27,19.03,28.31
2024-08-02,Val-Nord,25.08,20.64,29.66
2024-08-03,Val-Nord,19.36,16.51,24.36
2024-08-04,Val-Nord,18.36,16.14,21.37
2024-08-05,Val-Nord,20.95,18.42,28.38
2024-08-06,Val-Nord,18.69,12.14,25.05
2024-08-07,Val-Nord,24.44,21.74,29.88
2024-08-08,Val-Nord,19.62,17.27,24.49
2024-08-09,Val-Nord,23.91,20.51,30.57
2024-08-10,Val-Nord,15.49,13.03,20.41
2024-08-11,Val-Nord,22.15,15.17,29.04
2024-08-12,Val-Nord,19.74,13.83,24.54
2024-08-13,Val-Nord,21.9,16.44,30.56
2024-08-14,Val-Nord,14.25,11.66,16.22
2024-08-15,Val-Nord,19.47,14.17,24.96
2024-08-16,Val-Nord,18.76,15.71,21.79
2024-08-17,Val-Nord,21.24,17.02,26.67
2024-08-18,Val-Nord,22.65,17.66,29.81
2024-08-19,Val-Nord,21.24,16.9,27.84
2024-08-20,Val-Nord,22.04,17.56,29.39
2024-08-21,Val-Nord,19.28,16.2,23.74
2024-08-22,Val-Nord,17.9,13.27,25.28
2024-08-23,Val-Nord,19.28,14.88,26.95
2024-08-24,Val-Nord,21.89,17.56,26.14
2024-08-25,Val-Nord,19.7,15.8,22.12
2024-08-26,Val-Nord,16.81,11.62,22.36
2024-08-27,Val-Nord,20.16,20.07,26.52
2024-08-28,Val-Nord,22.19,15.4,26.93
2024-08-29,Val-Nord,19.12,15.99,25.59
2024-08-30,Val-Nord,15.4,15.05,20.37
2024-08-31,Val-Nord,22.98,19.84,28.61
2024-09-01,Val-Nord,16.55,9.6,18.21
2024-09-02,Val-Nord,18.4,15.81,23.25
2024-09-03,Val-Nord,19.51,13.87,25.85
2024-09-04,Val-Nord,15.95,9.68,21.36
2024-09-05,Val-Nord,18.41,15.79,28.1
2024-09-06,Val-Nord,16.94,13.25,20.16
2024-09-07,Val-Nord,17.49,8.03,25.07
2024-09-08,Val-Nord,19.9,16.87,23.63
2024-09-09,Val-Nord,16.87,13.35,21.48
2024-09-10,Val-Nord,17.16,12.9,22.88
2024-09-11,Val-Nord,18.39,13.72,22.48
2024-09-12,Val-Nord,14.17,10.42,19.3
2024-09-13,Val-Nord,16.18,12.29,23.63
2024-09-14,Val-Nord,18.87,16.88,26.13
2024-09-15,Val-Nord,16.79,12.21,20.1
2024-09-16,Val-Nord,20.57,15.82,23.33
2024-09-17,Val-Nord,18.89,14.74,23.39
2024-09-18,Val-Nord,16.26,11.86,22.58
2024-09-19,Val-Nord,19.44,14.91,24.65
2024-09-20,Val-Nord,19.25,16.22,23.39
2024-09-21,Val-Nord,18.07,16.06,24.01
2024-09-22,Val-Nord,13.43,8.06,18.8
2024-09-23,Val-Nord,16.35,13.12,23.3
2024-09-24,Val-Nord,12.36,7.81,16.99
2024-09-25,Val-Nord,15.8,11.01,23.45
2024-09-26,Val-Nord,17.1,16.59,18.76
2024-09-27,Val-Nord,11.51,7.66,17.02
2024-09-28,Val-Nord,13.99,10.47,18.41
2024-09-29,Val-Nord,14.01,10.32,21.45
2024-09-30,Val-Nord,15.52,10.48,17.63
2024-10-01,Val-Nord,16.05,8.63,23.62
2024-10-02,Val-Nord,8.71,5.6,14.12
2024-10-03,Val-Nord,16.31,12.83,21.31
2024-10-04,Val-Nord,17.74,13.72,24.24
2024-10-05,Val-Nord,14.28,9.68,18.63
2024-10-06,Val-Nord,15.19,12.2,21.42
2024-10-07,Val-Nord,10.13,6.2,15.14
2024-10-08,Val-Nord,13.78,10.11,17.9
2024-10-09,Val-Nord,10.02,3.82,11.29
2024-10-10,Val-Nord,12.06,7.24,15.41
2024-10-11,Val-Nord,12.55,8.46,15.63
2024-10-12,Val-Nord,13.55,11.2,17.9
2024-10-13,Val-Nord,11.8,8.3,16.92
2024-10-14,Val-Nord,10.89,7.72,14.91
2024-10-15,Val-Nord,11.77,5.47,20.47
2024-10-16,Val-Nord,12.29,7.47,15.87
2024-10-17,Val-Nord,8.94,4.91,14.03
2024-10-18,Val-Nord,15.54,12.17,19.6
2024-10-19,Val-Nord,11.76,7.86,16.11
2024-10-20,Val-Nord,11.59,9.76,16.83
2024-10-21,Val-Nord,10.01,7.21,13.34
2024-10-22,Val-Nord,10.52,6.89,16.34
2024-10-23,Val-Nord,10.55,3.66,14.07
2024-10-24,Val-Nord,13.59,9.98,16.1
2024-10-25,Val-Nord,15.04,11.7,23.57
2024-10-26,Val-Nord,14.58,9.71,21.7
2024-10-27,Val-Nord,11.03,5.31,18.04
2024-10-28,Val-Nord,9.64,5.32,14.2
2024-10-29,Val-Nord,7.79,1.88,15.32
2024-10-30,Val-Nord,13.04,10.69,18.66
2024-10-31,Val-Nord,7.35,2.72,12.67
2024-11-01,Val-Nord,16.02,12.4,22.72
2024-11-02,Val-Nord,10.09,7.95,16.57
2024-11-03,Val-Nord,9.03,3.95,15.87
2024-11-04,Val-Nord,12.19,9.84,17.57
2024-11-05,Val-Nord,6.39,1.52,11.74
2024-11-06,Val-Nord,9.34,2.3,16.46
2024-11-07,Val-Nord,11.18,6.3,18.34
2024-11-08,Val-Nord,6.72,3.66,10.06
2024-11-09,Val-Nord,11.59,8.3,12.53
2024-11-10,Val-Nord,8.29,4.68,11.28
2024-11-11,Val-Nord,7.07,1.99,11.04
2024-11-12,Val-Nord,10.18,5.25,14.48
2024-11-13,Val-Nord,9.44,5.77,12.1
2024-11-14,Val-Nord,10.26,8.37,15.18
2024-11-15,Val-Nord,6.93,2.09,9.08
2024-11-16,Val-Nord,9.62,5.74,14.21
2024-11-17,Val-Nord,4.56,-0.7,8.16
2024-11-18,Val-Nord,4.88,-1.1,9.72
2024-11-19,Val-Nord,8.24,3.27,13.03
2024-11-20,Val-Nord,8.06,1.72,12.89
2024-11-21,Val-Nord,7.16,1.54,11.85
2024-11-22,Val-Nord,4.91,0.39,9.16
2024-11-23,Val-Nord,-0.84,-7.26,2.72
2024-11-24,Val-Nord,8.63,7.33,10.71
2024-11-25,Val-Nord,6.93,1.72,13.81
2024-11-26,Val-Nord,4.55,1.9,8.6
2024-11-27,Val-Nord,1.02,-1.97,5.26
2024-11-28,Val-Nord,6.41,1.18,12.78
2024-11-29,Val-Nord,4.35,1.23,11.95
2024-11-30,Val-Nord,5.94,2.06,13.57
2024-12-01,Val-Nord,3.94,-1.14,10.94
2024-12-02,Val-Nord,9.31,4.92,15.95
2024-12-03,Val-Nord,4.04,-0.61,11.07
2024-12-04,Val-Nord,5.71,4.21,12.76
2024-12-05,Val-Nord,-0.34,-5.78,2.38
2024-12-06,Val-Nord,3.54,-3.97,7.92
2024-12-07,Val-Nord,5.54,2.23,10.93
2024-12-08,Val-Nord,3.26,-3.02,10.27
2024-12-09,Val-Nord,6.97,4.36,12.86
2024-12-10,Val-Nord,9.34,5.58,12.02
2024-12-11,Val-Nord,4.57,0.02,12.8
2024-12-12,Val-Nord,6.67,5.39,13.91
2024-12-13,Val-Nord,3.47,-2.04,9.33
2024-12-14,Val-Nord,4.11,0.88,7.07
2024-12-15,Val-Nord,7.2,4.4,14.59
2024-12-16,Val-Nord,3.0,-1.75,10.92
2024-12-17,Val-Nord,5.64,3.5,12.23
2024-12-18,Val-Nord,3.64,-0.13,10.41
2024-12-19,Val-Nord,5.95,3.2,15.1
2024-12-20,Val-Nord,5.64,1.46,11.71
2024-12-21,Val-Nord,2.61,-1.04,9.23
2024-12-22,Val-Nord,5.28,3.04,12.7
2024-12-23,Val-Nord,4.88,0.4,11.11
2024-12-24,Val-Nord,7.45,2.35,12.7
2024-12-25,Val-Nord,1.63,-4.02,5.76
2024-12-26,Val-Nord,8.97,6.08,12.98
2024-12-27,Val-Nord,4.83,1.45,8.79
2024-12-28,Val-Nord,2.98,-0.45,8.22
2024-12-29,Val-Nord,3.72,1.34,6.3
2024-12-30,Val-Nord,5.48,2.51,8.08
2024-12-31,Val-Nord,2.37,-0.78,8.53
2025-01-01,Val-Nord,6.33,1.7,13.16
2025-01-02,Val-Nord,1.27,-1.99,10.59
2025-01-03,Val-Nord,3.58,0.44,7.39
2025-01-04,Val-Nord,4.4,-2.0,6.85
2025-01-05,Val-Nord,2.68,-0.17,11.39
2025-01-06,Val-Nord,-0.12,-3.35,5.2
2025-01-07,Val-Nord,0.15,-4.36,7.53
2025-01-08,Val-Nord,3.03,-2.37,8.66
